Departamento,Provincia,Distrito,Id_Distrito,Latitude,Longitude
"TACNA","TACNA","CORONEL GREGORIO ALBARRACIN LANCHIPA","230110",-18.1077,-70.2409
"TACNA","TACNA","POCOLLAY","230108",-18.0077,-70.0740
"TACNA","TACNA","CALANA","230103",-17.9542,-70.1462
"TACNA","TACNA","TACNA","230101",-18.1322,-70.2285
"TACNA","TACNA","SAMA","230109",-17.9570,-70.6677
"TACNA","TACNA","CIUDAD NUEVA","230104",-17.8578,-70.1903
"TACNA","JORGE BASADRE","ITE","230303",-17.8035,-70.9330
"MOQUEGUA","ILO","ILO","180301",-17.7142,-71.2169
"TACNA","TACNA","ALTO DE LA ALIANZA","230102",-17.8334,-70.2789
"TACNA","TACNA","PACHIA","230106",-17.7848,-70.0236
"TACNA","TARATA","ESTIQUE-PAMPA","230404",-17.6125,-70.1138
"TACNA","TARATA","ESTIQUE","230403",-17.6237,-70.0251
"TACNA","TARATA","TARUCACHI","230407",-17.5019,-69.9580
"TACNA","TACNA","INCLAN","230105",-17.6812,-70.4236
"TACNA","JORGE BASADRE","LOCUMBA","230301",-17.6042,-70.7331
"MOQUEGUA","ILO","EL ALGARROBAL","180302",-17.5830,-71.1415
"TACNA","TACNA","PALCA","230107",-17.6569,-69.7640
"TACNA","TARATA","HEROES ALBARRACIN","230402",-17.4994,-70.2145
"TACNA","CANDARAVE","CURIBAYA","230204",-17.3941,-70.3339
"TACNA","TARATA","SITAJARA","230405",-17.3946,-70.1534
"TACNA","CANDARAVE","QUILAHUANI","230206",-17.3329,-70.2568
"MOQUEGUA","ILO","PACOCHA","180303",-17.4395,-71.3594
"TACNA","TARATA","TARATA","230401",-17.3770,-69.7514
"TACNA","CANDARAVE","HUANUARA","230205",-17.3085,-70.3305
"TACNA","TARATA","TICACO","230408",-17.3347,-69.9636
"TACNA","JORGE BASADRE","ILABAYA","230302",-17.3838,-70.5710
"MOQUEGUA","MARISCAL NIETO","SAMEGUA","180104",-17.1567,-70.8526
"AREQUIPA","ISLAY","PUNTA DE BOMBON","040706",-17.1600,-71.5507
"TACNA","CANDARAVE","CAIRANI","230202",-17.1878,-70.3408
"TACNA","TARATA","SUSAPAYA","230406",-17.2246,-70.0467
"AREQUIPA","ISLAY","DEAN VALDIVIA","040703",-17.0980,-71.8294
"TACNA","CANDARAVE","CAMILACA","230203",-17.1651,-70.4327
"AREQUIPA","ISLAY","MEJIA","040705",-17.0356,-71.8786
"PUNO","EL COLLAO","CAPAZO","210502",-17.1098,-69.7020
"TACNA","CANDARAVE","CANDARAVE","230201",-17.0419,-70.2479
"AREQUIPA","ISLAY","ISLAY","040704",-16.8763,-72.1022
"MOQUEGUA","MARISCAL NIETO","TORATA","180106",-16.9981,-70.7383
"MOQUEGUA","MARISCAL NIETO","MOQUEGUA","180101",-17.2292,-71.0612
"MOQUEGUA","MARISCAL NIETO","CUCHUMBAYA","180103",-16.7687,-70.6676
"PUNO","CHUCUITO","PISACOMA","210405",-16.9313,-69.4477
"AREQUIPA","ISLAY","COCACHACRA","040702",-16.9289,-71.5995
"AREQUIPA","ISLAY","MOLLENDO","040701",-16.8574,-71.8789
"MOQUEGUA","GENERAL SANCHEZ CERRO","LA CAPILLA","180205",-16.8260,-71.2940
"AREQUIPA","CAMANA","CAMANA","040201",-16.6309,-72.7129
"MOQUEGUA","GENERAL SANCHEZ CERRO","QUINISTAQUILLAS","180209",-16.7042,-70.8798
"AREQUIPA","CAMANA","JOSE MARIA QUIMPER","040202",-16.5967,-72.7366
"PUNO","CHUCUITO","KELLUYO","210404",-16.7216,-69.2480
"MOQUEGUA","MARISCAL NIETO","SAN CRISTOBAL","180105",-16.6634,-70.6447
"PUNO","CHUCUITO","DESAGUADERO","210402",-16.6202,-69.0803
"AREQUIPA","CAMANA","SAMUEL PASTOR","040208",-16.6013,-72.6524
"AREQUIPA","AREQUIPA","QUEQUEÑA","040115",-16.5442,-71.4432
"MOQUEGUA","GENERAL SANCHEZ CERRO","OMATE","180201",-16.6466,-70.9630
"PUNO","EL COLLAO","SANTA ROSA","210504",-16.8358,-69.8552
"AREQUIPA","AREQUIPA","YARABAMBA","040127",-16.6135,-71.5499
"AREQUIPA","AREQUIPA","POLOBAYA","040114",-16.6420,-71.3574
"AREQUIPA","AREQUIPA","MOLLEBAYA","040111",-16.5041,-71.4738
"MOQUEGUA","MARISCAL NIETO","CARUMAS","180102",-16.7284,-70.3714
"MOQUEGUA","GENERAL SANCHEZ CERRO","PUQUINA","180208",-16.6283,-71.1573
"AREQUIPA","CAMANA","QUILCA","040207",-16.7007,-72.3519
"MOQUEGUA","GENERAL SANCHEZ CERRO","COALAQUE","180203",-16.5758,-71.0461
